country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Malawi,448.0,468.0,493.0,512.0,522.0,517.0,530.0,544.0,544.0,543.0,550.0,559.0,573.0,undeveloped
Malaysia,7740.0,7950.0,7680.0,8100.0,8390.0,8710.0,8980.0,9370.0,9700.0,9980.0,10400.0,10800.0,11100.0,developed
Namibia,4000.0,4050.0,4010.0,4190.0,4330.0,4480.0,4650.0,4850.0,4970.0,4880.0,4750.0,4710.0,4600.0,undeveloped
Niger,411.0,427.0,419.0,438.0,432.0,460.0,466.0,479.0,481.0,489.0,495.0,511.0,521.0,undeveloped
Nigeria,2090.0,2170.0,2280.0,2400.0,2460.0,2490.0,2590.0,2680.0,2680.0,2570.0,2530.0,2510.0,2510.0,undeveloped
Nicaragua,1670.0,1700.0,1620.0,1670.0,1750.0,1840.0,1900.0,1960.0,2030.0,2090.0,2150.0,2050.0,1970.0,undeveloped
Netherlands,45100.0,45900.0,44000.0,44400.0,44900.0,44200.0,44100.0,44500.0,45200.0,45900.0,47000.0,47800.0,48400.0,developed
Norway,76100.0,75500.0,73100.0,72800.0,72700.0,73700.0,73500.0,74200.0,74800.0,75000.0,76200.0,76400.0,76700.0,developed
Nepal,635.0,670.0,696.0,726.0,748.0,781.0,807.0,853.0,882.0,878.0,946.0,1010.0,1060.0,undeveloped
New Zealand,36400.0,35700.0,35300.0,35400.0,35900.0,36500.0,37300.0,38000.0,38600.0,39200.0,39700.0,40400.0,40700.0,developed
Oman,20600.0,21900.0,22900.0,21800.0,20100.0,19900.0,19400.0,18700.0,18800.0,18800.0,18300.0,18300.0,18000.0,developed
Pakistan,1280.0,1280.0,1300.0,1290.0,1290.0,1310.0,1350.0,1380.0,1420.0,1500.0,1540.0,1610.0,1630.0,undeveloped
Panama,9230.0,9950.0,9900.0,10300.0,11200.0,12100.0,12700.0,13200.0,13700.0,14100.0,14600.0,14900.0,15200.0,developed
Peru,4400.0,4760.0,4780.0,5140.0,5420.0,5700.0,5980.0,6060.0,6180.0,6340.0,6400.0,6530.0,6550.0,undeveloped
Philippines,2250.0,2300.0,2290.0,2420.0,2460.0,2590.0,2720.0,2840.0,2970.0,3130.0,3290.0,3440.0,3590.0,undeveloped
Palau,14300.0,13700.0,12900.0,13000.0,13900.0,14300.0,14000.0,14700.0,16100.000000000002,16300.0,15700.0,15700.0,15800.0,undeveloped
Papua New Guinea,2010.0,1950.0,2020.0,2150.0,2120.0,2150.0,2180.0,2410.0,2500.0,2580.0,2600.0,2540.0,2590.0,undeveloped
Poland,9730.0,10100.0,10400.0,10800.0,11300.0,11500.0,11600.0,12000.0,12600.0,12900.0,13600.0,14400.0,15100.0,developed
Portugal,20000.0,20000.0,19300.0,19700.0,19400.0,18700.0,18600.0,18800.0,19300.0,19700.0,20400.0,21100.0,21600.0,developed
Paraguay,4520.0,4760.0,4700.0,5160.0,5320.0,5210.0,5560.0,5770.0,5860.0,6030.0,6230.0,6340.0,6230.0,undeveloped
Palestine,2570.0,2690.0,2840.0,2930.0,3130.0,3240.0,3310.0,3230.0,3270.0,3480.0,3460.0,3420.0,3380.0,undeveloped
Qatar,60300.0,60500.0,60700.0,68300.0,73500.0,72900.0,72000.0,69700.0,67000.0,64200.0,60600.0,60100.0,59600.0,developed
Romania,7480.0,8310.0,7920.0,7660.0,8040.0,8230.0,8290.0,8660.0,8980.0,9290.0,10100.0,10800.0,11300.0,developed
Russia,8640.0,9090.0,8380.0,8760.0,9120.0,9460.0,9600.0,9490.0,9280.0,9270.0,9420.0,9670.0,9880.0,developed
Rwanda,499.0,540.0,558.0,584.0,614.0,651.0,666.0,690.0,734.0,759.0,769.0,815.0,871.0,undeveloped
Saudi Arabia,17800.0,18200.0,17200.0,17500.0,18900.0,19500.0,19600.0,19900.0,20400.0,20400.0,20100.0,20300.0,20000.0,developed
Sudan,1430.0,1430.0,1350.0,1360.0,1450.0,1350.0,1350.0,1370.0,1360.0,1360.0,1320.0,1250.0,1190.0,undeveloped
Senegal,1140.0,1160.0,1160.0,1160.0,1150.0,1160.0,1160.0,1200.0,1240.0,1280.0,1340.0,1380.0,1410.0,undeveloped
Singapore,46200.0,44600.0,43300.0,48800.0,50700.0,51700.0,53300.0,54700.0,55600.0,56900.0,59400.0,61200.0,61300.0,developed
Solomon Islands,1810.0,1880.0,1900.0,2030.0,2130.0,2130.0,2180.0,2150.0,2130.0,2200.0,2210.0,2220.0,2200.0,undeveloped
Sierra Leone,502.0,516.0,518.0,537.0,555.0,622.0,734.0,749.0,581.0,603.0,611.0,618.0,635.0,undeveloped
El Salvador,3340.0,3400.0,3310.0,3370.0,3490.0,3570.0,3640.0,3690.0,3760.0,3850.0,3920.0,4010.0,4100.0,undeveloped
Serbia,4970.0,5270.0,5150.0,5210.0,5350.0,5340.0,5520.0,5460.0,5590.0,5810.0,5960.0,6260.0,6570.0,developed
Sao Tome and Principe,1170.0,1210.0,1220.0,1210.0,1210.0,1220.0,1260.0,1300.0,1290.0,1340.0,1370.0,1410.0,1410.0,undeveloped
Suriname,7940.0,8180.0,8330.0,8660.0,9070.0,9210.0,9390.0,9320.0,8910.0,8380.0,8430.0,8750.0,8760.0,undeveloped
Slovak Republic,13700.0,14500.0,13700.0,14600.0,15000.0,15100.0,15200.0,15600.0,16400.0,16700.0,17200.0,17800.0,18200.0,developed
Slovenia,21600.0,22300.0,20400.0,20600.0,20700.0,20200.0,19900.0,20500.0,20900.0,21500.0,22600.0,23500.0,24100.0,developed
Sweden,49100.0,48500.0,46000.0,48400.0,49500.0,48900.0,49000.0,49900.0,51500.0,52000.0,52600.0,53000.0,53500.0,developed
Eswatini,3050.0,3060.0,3100.0,3200.0,3250.0,3410.0,3520.0,3530.0,3580.0,3590.0,3640.0,3700.0,3770.0,undeveloped
Seychelles,13100.0,12500.0,12100.0,12300.0,13800.0,14100.0,14100.0,14400.0,15300.0,17000.0,17900.0,18600.0,19500.0,developed
Syria,1420.0,1430.0,1490.0,1540.0,1550.0,1150.0,891.0,856.0,857.0,813.0,806.0,802.0,781.0,undeveloped
Chad,662.0,659.0,663.0,728.0,703.0,739.0,754.0,778.0,774.0,703.0,660.0,653.0,653.0,undeveloped
Togo,618.0,625.0,641.0,660.0,680.0,705.0,727.0,749.0,770.0,783.0,794.0,812.0,832.0,undeveloped
Thailand,4780.0,4830.0,4760.0,5080.0,5090.0,5430.0,5540.0,5560.0,5710.0,5880.0,6100.0,6340.0,6450.0,developed
Tajikistan,687.0,728.0,741.0,774.0,814.0,856.0,899.0,937.0,970.0,1010.0,1060.0,1120.0,1170.0,undeveloped
Turkmenistan,3250.0,3670.0,3840.0,4120.0,4640.0,5070.0,5480.0,5940.0,6210.0,6480.0,6780.0,7090.0,7420.0,undeveloped
Timor-Leste,948.0,1030.0,1110.0,1190.0,1230.0,1270.0,1280.0,1310.0,1320.0,1350.0,1280.0,1260.0,1530.0,undeveloped
Tonga,3670.0,3840.0,3630.0,3650.0,3890.0,3930.0,3950.0,4050.0,4120.0,4410.0,4560.0,4590.0,4630.0,undeveloped
Trinidad and Tobago,16700.0,17200.0,16300.0,16800.0,16600.0,17700.0,18200.0,18800.0,18500.0,17000.0,16100.000000000002,15700.0,15600.0,developed
Tunisia,3590.0,3710.0,3790.0,3860.0,3730.0,3840.0,3890.0,3970.0,3960.0,3960.0,4010.0,4070.0,4090.0,undeveloped
Turkey,8410.0,8380.0,7860.0,8400.0,9200.0,9520.0,10200.0,10600.0,11000.0,11300.0,12000.0,12100.0,12100.0,developed
Tuvalu,3080.0,3250.0,3000.0,2900.0,3050.0,2940.0,3050.0,3060.0,3380.0,3580.0,3680.0,3720.0,4200.0,undeveloped
Tanzania,727.0,747.0,767.0,795.0,832.0,845.0,875.0,905.0,930.0,960.0,991.0,1010.0,1040.0,undeveloped
Uganda,685.0,723.0,750.0,770.0,818.0,825.0,830.0,847.0,864.0,876.0,872.0,896.0,922.0,undeveloped
Ukraine,2530.0,2600.0,2220.0,2320.0,2450.0,2460.0,2470.0,2350.0,2120.0,2190.0,2250.0,2340.0,2430.0,undeveloped
Uruguay,12200.0,13000.0,13600.0,14600.0,15300.0,15800.0,16500.0,16900.0,17000.0,17200.0,17400.0,17400.0,17600.0,developed
USA,54200.0,53700.0,51900.0,52800.0,53300.0,54100.0,54800.0,55800.0,57000.0,57700.0,58700.0,60100.0,61300.0,developed
Uzbekistan,1790.0,1920.0,2040.0,2130.0,2230.0,2350.0,2490.0,2610.0,2750.0,2870.0,2940.0,3060.0,3190.0,undeveloped
St. Vincent and the Grenadines,7000.0,7060.0,6990.0,6710.0,6710.0,6820.0,7030.0,7160.0,7390.0,7730.0,7870.0,8140.0,8230.0,undeveloped
Vietnam,1770.0,1850.0,1930.0,2030.0,2140.0,2230.0,2330.0,2450.0,2600.0,2740.0,2900.0,3090.0,3290.0,undeveloped
Vanuatu,2680.0,2760.0,2780.0,2750.0,2770.0,2730.0,2680.0,2700.0,2640.0,2700.0,2800.0,2820.0,2840.0,undeveloped
Samoa,3780.0,3890.0,3840.0,4050.0,4170.0,3980.0,3940.0,3930.0,4050.0,4330.0,4350.0,4280.0,4420.0,undeveloped
South Africa,5950.0,6070.0,5910.0,6020.0,6130.0,6190.0,6260.0,6250.0,6200.0,6190.0,6230.0,6250.0,6190.0,undeveloped
Zambia,1030.0,1070.0,1130.0,1200.0,1220.0,1270.0,1290.0,1310.0,1310.0,1310.0,1320.0,1330.0,1310.0,undeveloped
Zimbabwe,1010.0,825.0,914.0,1100.0,1240.0,1410.0,1420.0,1410.0,1410.0,1390.0,1420.0,1460.0,1340.0,undeveloped
