country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Libya,0.37,0.37,0.37,0.37,0.389,0.373,0.376,0.382,0.384,0.384,0.38,0.37799999999999995,0.377,undeveloped
St. Lucia,0.473,0.47700000000000004,0.48200000000000004,0.486,0.49,0.495,0.499,0.503,0.508,0.512,0.512,0.512,0.512,undeveloped
Liechtenstein,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,developed
Sri Lanka,0.384,0.37200000000000005,0.36,0.369,0.37799999999999995,0.387,0.389,0.39,0.392,0.39399999999999996,0.39399999999999996,0.39399999999999996,0.39399999999999996,undeveloped
Lesotho,0.49200000000000005,0.488,0.483,0.479,0.475,0.47,0.466,0.461,0.457,0.45299999999999996,0.449,0.449,0.449,undeveloped
Lithuania,0.348,0.35700000000000004,0.37200000000000005,0.336,0.325,0.35100000000000003,0.353,0.377,0.374,0.384,0.373,0.35700000000000004,0.35700000000000004,developed
Luxembourg,0.311,0.326,0.312,0.305,0.32,0.344,0.32,0.312,0.32899999999999996,0.317,0.345,0.354,0.354,developed
Latvia,0.375,0.37200000000000005,0.36,0.35,0.358,0.35200000000000004,0.355,0.35100000000000003,0.342,0.34299999999999997,0.35600000000000004,0.35100000000000003,0.35100000000000003,developed
Morocco,0.405,0.40399999999999997,0.402,0.4,0.39899999999999997,0.397,0.395,0.395,0.395,0.395,0.395,0.395,0.395,undeveloped
Moldova,0.344,0.34700000000000003,0.32899999999999996,0.32,0.306,0.292,0.285,0.268,0.27,0.264,0.259,0.257,0.257,undeveloped
Madagascar,0.409,0.414,0.419,0.424,0.425,0.426,0.428,0.428,0.428,0.428,0.428,0.428,0.428,undeveloped
Maldives,0.392,0.38799999999999996,0.384,0.373,0.36200000000000004,0.35200000000000004,0.341,0.332,0.322,0.313,0.313,0.313,0.313,undeveloped
Mexico,0.494,0.499,0.485,0.47200000000000003,0.48,0.48700000000000004,0.48700000000000004,0.48700000000000004,0.475,0.46299999999999997,0.45799999999999996,0.45399999999999996,0.45399999999999996,undeveloped
North Macedonia,0.444,0.461,0.428,0.402,0.39399999999999996,0.381,0.36200000000000004,0.35200000000000004,0.35600000000000004,0.345,0.342,0.33,0.33,undeveloped
Mali,0.369,0.349,0.33,0.325,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,0.322,undeveloped
Malta,0.292,0.29,0.302,0.29,0.29100000000000004,0.294,0.28800000000000003,0.29,0.294,0.29100000000000004,0.292,0.287,0.287,developed
Myanmar,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.381,0.342,0.307,0.307,0.307,undeveloped
Montenegro,0.314,0.305,0.31,0.289,0.308,0.41200000000000003,0.39,0.38799999999999996,0.39,0.385,0.37200000000000005,0.371,0.37,developed
Mongolia,0.358,0.349,0.34,0.331,0.33899999999999997,0.33799999999999997,0.32899999999999996,0.32,0.322,0.324,0.325,0.327,0.327,undeveloped
Mozambique,0.45799999999999996,0.456,0.469,0.48200000000000004,0.496,0.51,0.525,0.54,0.545,0.5479999999999999,0.5479999999999999,0.5479999999999999,0.5479999999999999,undeveloped
Mauritania,0.368,0.35700000000000004,0.35200000000000004,0.34600000000000003,0.341,0.336,0.331,0.326,0.325,0.325,0.325,0.325,0.325,undeveloped
Mauritius,0.361,0.366,0.37,0.375,0.38,0.385,0.381,0.37799999999999995,0.374,0.371,0.368,0.368,0.368,developed
Malawi,0.426,0.435,0.445,0.455,0.45399999999999996,0.452,0.451,0.45,0.44799999999999995,0.447,0.447,0.447,0.447,undeveloped
Malaysia,0.451,0.455,0.45,0.445,0.439,0.426,0.414,0.41200000000000003,0.41100000000000003,0.41100000000000003,0.41,0.41,0.41,developed
Namibia,0.617,0.614,0.61,0.606,0.603,0.6,0.597,0.594,0.591,0.589,0.589,0.589,0.589,undeveloped
Niger,0.373,0.35700000000000004,0.34299999999999997,0.32799999999999996,0.314,0.324,0.33299999999999996,0.34299999999999997,0.345,0.345,0.345,0.345,0.345,undeveloped
Nigeria,0.42,0.425,0.43,0.42,0.41100000000000003,0.402,0.39299999999999996,0.384,0.376,0.36700000000000005,0.359,0.35100000000000003,0.35100000000000003,undeveloped
