country,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,Type
Turkey,35900.0,35400.0,33600.0,34300.0,35800.0,36500.0,38400.0,39700.0,40700.0,40800.0,42300.0,42400.0,43500.0,developed
Tanzania,1410.0,1450.0,1490.0,1560.0,1650.0,1680.0,1750.0,1810.0,1860.0,1930.0,1990.0,2030.0,2080.0,undeveloped
Uganda,2100.0,2210.0,2300.0,2340.0,2470.0,2470.0,2430.0,2460.0,2490.0,2510.0,2500.0,2540.0,2600.0,undeveloped
Ukraine,7340.0,7540.0,6620.0,6840.0,7210.0,7280.0,7210.0,7090.0,6400.0,6630.0,6860.0,7110.0,7370.0,undeveloped
Uruguay,22200.0,23100.0,23700.0,25400.0,26100.0,27100.0,28400.0,29000.0,29400.0,30000.0,30800.0,31400.0,31700.0,developed
USA,102000.0,102000.0,103000.0,106000.0,107000.0,107000.0,108000.0,108000.0,110000.0,110000.0,110000.0,112000.0,113000.0,developed
Uzbekistan,3260.0,3480.0,3690.0,3900.0,4100.0,4320.0,4570.0,4830.0,5120.0,5360.0,5550.0,5780.0,6040.0,undeveloped
St. Vincent and the Grenadines,16500.0,16600.0,16300.0,15700.0,15500.0,15600.0,15800.0,15800.0,15900.0,16000.0,16000.0,16200.0,16100.000000000002,undeveloped
Venezuela,34800.0,35700.0,34000.0,33300.0,34000.0,35400.0,35500.0,33800.0,31500.0,26600.0,22900.0,19000.0,13000.0,undeveloped
Vietnam,2070.0,2140.0,2210.0,2290.0,2390.0,2470.0,2550.0,2670.0,2830.0,2990.0,3160.0,3330.0,3580.0,undeveloped
Vanuatu,7020.0,7280.0,7330.0,7020.0,6940.0,6870.0,6820.0,6800.0,6650.0,6680.0,6790.0,6810.0,6820.0,undeveloped
Samoa,14800.0,14800.0,13900.0,13900.0,14400.0,14000.0,13800.0,13700.0,14300.0,15500.0,15600.0,15100.0,15500.0,undeveloped
Yemen,6300.0,6360.0,6460.0,6790.0,5840.0,5890.0,6070.0,5960.0,4100.0,3570.0,3260.0,3160.0,3110.0,undeveloped
South Africa,25700.0,24600.0,24900.0,26400.0,26800.0,26700.0,26400.0,26400.0,25800.0,25900.0,25700.0,25600.0,25800.0,undeveloped
Zambia,3360.0,3460.0,3810.0,4250.0,4230.0,4320.0,4420.0,4500.0,4510.0,4560.0,4600.0,4640.0,4550.0,undeveloped
Zimbabwe,1930.0,1570.0,1750.0,2080.0,2350.0,2700.0,2710.0,2730.0,2730.0,2710.0,2790.0,2870.0,2590.0,undeveloped
